congress;chamber;icpsr;state_icpsr;district_code;state_abbrev;party_code;occupancy;last_means;bioname;bioguide_id;born;died;nominate_dim1;nominate_dim2;nominate_log_likelihood;nominate_geo_mean_probability;nominate_number_of_votes;nominate_number_of_errors;conditional;nokken_poole_dim1;nokken_poole_dim2
116;House;21522;45;5;LA;200;;;Abraham, Ralph;A000374;1954;;0.541;0.257;-62.96669;0.87964;491;29;;0.607;0.154
116;House;21545;47;12;NC;100;;;Adams, Alma;A000370;1946;;-0.466;0.015;-14.83709;0.98092;770;5;;-0.429;-0.068
116;House;29701;41;4;AL;200;;;Aderholt, Robert;A000055;1965;;0.369;0.59;-119.35046;0.85288;750;43;;0.453;0.48
116;House;21506;71;31;CA;100;;;Aguilar, Pete;A000371;1979;;-0.291;0.136;-48.9478;0.9397;787;19;;-0.445;0.398
116;Senate;40304;54;0;TN;200;;;Alexander, Lamar;A000360;1940;;0.324;-0.177;-27.87682;0.94502;493;9;;0.32;-0.092
116;House;21516;44;12;GA;200;;;Allen, Rick;A000372;1951;;0.678;0.292;-90.90211;0.8917;793;38;;0.755;0.356
116;House;21900;49;32;TX;100;;;Allred, Colin;A000376;1983;;-0.45;0.616;-39.84046;0.94995;776;17;;-0.45;0.616
116;House;21143;23;3;MI;200;;;Amash, Justin;A000367;1980;;0.654;-0.757;-172.05329;0.62734;369;65;;0.919;-0.395
116;House;21196;65;2;NV;200;;;Angus King;A000369;1958;;0.383;0.197;-117.8472;0.85775;768;57;;0.398;0.225
116;House;21901;36;1;ND;200;;;Armstrong, Kelly;A000377;1976;;0.462;0.05;-127.84816;0.84665;768;59;;0.462;0.049
116;House;21700;49;19;TX;200;;;Arrington, Jodey;A000375;1972;;0.63;-0.036;-122.07914;0.85443;776;64;;0.653;-0.096
116;House;21902;31;3;IA;100;;;Axne, Cynthia;A000378;1965;;-0.237;0.564;-78.2102;0.90471;781;33;;-0.237;0.564
116;House;21551;49;36;TX;200;;;Babin, Brian;B001291;1948;;0.701;0.122;-107.30163;0.86768;756;48;;0.706;0.089
116;House;21701;35;2;NE;200;;;Bacon, Don;B001298;1963;;0.398;-0.098;-183.59244;0.79356;794;93;;0.39;-0.126
116;House;21903;22;4;IN;200;;;Baird, James;B001307;1945;;0.428;0.649;-78.02034;0.90607;791;37;;0.428;0.649
116;House;21759;24;12;OH;200;;;Balderson, Troy;B001306;1962;;0.418;0.476;-77.95119;0.90638;793;33;;0.419;0.475
116;Senate;29940;25;0;WI;100;;;Baldwin, Tammy;B001230;1962;;-0.493;-0.14;-131.89076;0.8067;614;65;;-0.395;-0.002
